open_time,open,high,low,close,volume,close_time,base_asset_volume,no_trades,taker_buy_vol,taker_buy_base_asset_vol,ignore
1704067200000,0.3004,0.3041,0.2983,0.3004,2523469.5,1704088799999,759475.6716,6039,1411992.3,425031.28485,0
1704088800000,0.3004,0.3013,0.2993,0.3012,1332570.1,1704110399999,399980.30234,2126,507288.4,152308.01773,0
1704110400000,0.3012,0.3051,0.3007,0.3036,3124061.7,1704131999999,946415.81017,4632,1816371.6,550267.48063,0
1704132000000,0.3036,0.3051,0.3027,0.3043,1081983.1,1704153599999,328915.39101,3048,505724.4,153726.71849,0
1704153600000,0.3042,0.307,0.3027,0.3045,2427515.8,1704175199999,740516.92323,4506,1233821.5,376606.70504,0
1704175200000,0.3045,0.3059,0.303,0.3033,1898013.4,1704196799999,577605.36861,4020,668700.2,203649.38478,0
1704196800000,0.3033,0.3038,0.2987,0.2991,3176249.3,1704218399999,955305.22913,6371,1445756.9,434844.09551,0
1704218400000,0.2992,0.3003,0.298,0.3003,798705.6,1704239999999,238586.43346,1639,360551.2,107721.64976,0
1704240000000,0.3001,0.3028,0.3001,0.3027,949498.8,1704261599999,286362.21842,1911,500065.1,150866.91479,0
1704261600000,0.3028,0.3041,0.298,0.2988,3624573.4,1704283199999,1093184.55343,6090,1452448.0,438054.75863,0
1704283200000,0.2988,0.2988,0.2777,0.2922,13581741.1,1704304799999,3955038.80543,27716,6237517.9,1814752.75865,0
1704304800000,0.2922,0.2958,0.2896,0.2945,2122269.3,1704326399999,621627.08986,4262,777180.9,226984.86546,0
1704326400000,0.2945,0.2979,0.2929,0.2965,2487252.0,1704347999999,736114.79224,5530,992012.8,293495.81336,0
1704348000000,0.2966,0.2982,0.2918,0.2932,2985987.9,1704369599999,881842.10367,5580,1216977.6,359122.13462,0
1704369600000,0.2933,0.296,0.293,0.2941,1312861.0,1704391199999,387041.15584,2331,547621.8,161481.9875,0
1704391200000,0.2944,0.2962,0.2929,0.2937,841805.6,1704412799999,247566.21059,1987,440274.2,129392.21693,0
1704412800000,0.2939,0.2951,0.29,0.2921,1541384.9,1704434399999,450841.28571,3245,680857.9,199093.94195,0
1704434400000,0.2921,0.2948,0.2907,0.291,1631313.7,1704455999999,476978.17322,3416,799212.7,233901.05641,0
1704456000000,0.291,0.2932,0.2882,0.2887,2160488.6,1704477599999,626853.5435,5079,1205264.2,349635.11501,0
1704477600000,0.2888,0.2926,0.2881,0.2923,1100816.9,1704499199999,320111.66646,2596,483610.1,140536.40646,0
1704499200000,0.2923,0.2929,0.2885,0.2891,867219.4,1704520799999,251583.94956,1859,464987.0,134870.03897,0
1704520800000,0.2893,0.2907,0.2862,0.2903,2394001.8,1704542399999,689374.02539,5873,1156001.3,332626.90027,0
1704542400000,0.2902,0.2921,0.2892,0.2921,1183751.1,1704563999999,344603.08767,2177,492254.8,143319.59699,0
1704564000000,0.2921,0.2927,0.2898,0.2915,1373005.0,1704585599999,400278.98353,2076,593380.0,173076.2018,0
1704585600000,0.2918,0.2949,0.2912,0.294,2322260.5,1704607199999,681217.72929,3379,1418608.7,416009.55667,0
1704607200000,0.2944,0.2958,0.2921,0.293,1247629.5,1704628799999,367144.66661,2529,612509.5,180296.43498,0
1704628800000,0.293,0.2932,0.2884,0.2909,2889418.9,1704650399999,839463.1508,4262,1110957.2,322600.985,0
1704650400000,0.2909,0.2915,0.2858,0.2875,2245099.2,1704671999999,646682.92355,4493,1244143.7,358176.30443,0
1704672000000,0.2875,0.2882,0.283,0.2839,4122769.3,1704693599999,1174541.1156,6486,2125245.9,605778.79689,0
1704693600000,0.284,0.2877,0.2834,0.287,1542205.3,1704715199999,439542.51271,2208,502197.5,143016.9472,0
1704715200000,0.2871,0.2895,0.2855,0.2888,2103552.0,1704736799999,605466.95562,4018,728230.0,209667.00469,0
1704736800000,0.289,0.2904,0.287,0.2899,1870825.4,1704758399999,540531.99868,2556,813887.9,235182.43267,0
1704758400000,0.2899,0.2902,0.2868,0.2894,1567550.2,1704779999999,452244.68136,2229,771985.4,222696.24547,0
1704780000000,0.2894,0.2894,0.2866,0.287,878001.1,1704801599999,252604.29316,1327,405050.8,116508.54855,0
1704801600000,0.2873,0.2875,0.2825,0.2845,2247038.4,1704823199999,638997.61652,3957,1247893.1,354666.30747,0
1704823200000,0.2849,0.2867,0.2816,0.2846,3251986.7,1704844799999,922905.63825,5106,1641566.5,465900.64411,0
1704844800000,0.2848,0.2868,0.2841,0.2853,1227503.2,1704866399999,350710.02855,1718,325871.3,93019.69749,0
1704866400000,0.2854,0.2867,0.2838,0.2863,868089.8,1704887999999,247717.95614,1315,385209.2,109870.51901,0
1704888000000,0.2863,0.2867,0.2817,0.286,3053894.9,1704909599999,867829.72548,4557,1523841.3,432563.5972,0
1704909600000,0.2859,0.2918,0.2833,0.2889,5023342.0,1704931199999,1446711.08223,7954,2178279.1,626909.25077,0
1704931200000,0.2889,0.2935,0.288,0.2911,2946708.3,1704952799999,857939.23451,4824,1437188.4,418738.63293,0
1704952800000,0.2911,0.2971,0.2897,0.2967,3006328.9,1704974399999,883695.47122,4492,1410909.3,414734.43279,0
1704974400000,0.2967,0.3051,0.293,0.2967,15501257.0,1704995999999,4651792.75099,25079,8036675.2,2412453.36884,0
1704996000000,0.2968,0.2979,0.2944,0.2961,1158441.5,1705017599999,342926.19415,2583,646001.3,191088.66051,0
1705017600000,0.296,0.3001,0.2949,0.2998,2509108.0,1705039199999,747884.88535,3719,1431331.3,426614.2938,0
1705039200000,0.2998,0.3013,0.2976,0.2994,2695199.0,1705060799999,806819.38986,3691,1154719.1,345794.92479,0
1705060800000,0.2995,0.301,0.2935,0.2961,4741786.5,1705082399999,1408297.67896,9917,2219395.5,659238.11526,0
1705082400000,0.2961,0.2967,0.29,0.2928,2645612.5,1705103999999,776493.20236,5884,1209155.3,355099.24252,0
1705104000000,0.2926,0.2947,0.2912,0.2944,1713247.8,1705125599999,501135.91873,3703,873056.7,255312.07391,0
1705125600000,0.2946,0.2954,0.293,0.293,662365.5,1705147199999,195095.83097,1335,350698.8,103330.64009,0
1705147200000,0.293,0.2951,0.2926,0.2941,1058944.5,1705168799999,311344.46428,1980,567790.1,166942.80807,0
1705168800000,0.294,0.2955,0.2936,0.2947,492938.3,1705190399999,145290.53206,1164,174872.1,51543.78503,0
1705190400000,0.2946,0.2956,0.2935,0.2955,587703.1,1705211999999,173127.75255,1254,246975.0,72746.10664,0
1705212000000,0.2955,0.2971,0.2943,0.2943,833827.4,1705233599999,246919.20098,2093,264706.1,78410.92661,0
1705233600000,0.2943,0.2964,0.2943,0.296,1064708.3,1705255199999,314887.38671,1638,620894.0,183594.36921,0
1705255200000,0.296,0.2963,0.2922,0.2923,1618549.7,1705276799999,475332.4648,3107,987494.2,289994.60318,0
1705276800000,0.2924,0.2961,0.2912,0.2947,1057300.7,1705298399999,311118.62104,1737,544141.3,160168.64701,0
1705298400000,0.2947,0.2948,0.2929,0.294,509392.2,1705319999999,149687.78852,947,213658.1,62771.78758,0
1705320000000,0.294,0.2947,0.2913,0.2936,816904.1,1705341599999,239392.85842,1492,272406.3,79871.10483,0
1705341600000,0.2935,0.2945,0.293,0.2943,889789.2,1705363199999,261446.63198,1917,401376.7,117939.87835,0
1705363200000,0.2943,0.2958,0.2943,0.2949,1042508.2,1705384799999,307580.58335,1885,682451.6,201420.90914,0
1705384800000,0.2949,0.2952,0.2931,0.2939,1489656.0,1705406399999,437997.7048,2075,689527.7,202853.10373,0
1705406400000,0.2939,0.295,0.2913,0.2933,1645572.8,1705427999999,482658.41249,2746,919503.1,269746.57516,0
1705428000000,0.2932,0.294,0.2925,0.2928,547524.4,1705449599999,160516.10507,916,313789.0,92013.934,0
1705449600000,0.2928,0.2941,0.2927,0.2928,728066.7,1705471199999,213714.52731,909,350292.5,102833.89437,0
1705471200000,0.2928,0.295,0.2921,0.2943,880327.0,1705492799999,258446.36919,1530,511980.9,150255.8473,0
1705492800000,0.2943,0.2943,0.2925,0.2936,685724.6,1705514399999,201214.51916,1269,302518.3,88779.04631,0
1705514400000,0.2938,0.2938,0.292,0.2937,564476.6,1705535999999,165274.65666,999,310036.0,90778.54184,0
1705536000000,0.2937,0.2992,0.2937,0.2984,4723587.0,1705557599999,1402618.48712,5492,3007463.7,893113.6885,0
1705557600000,0.2984,0.3016,0.2971,0.2983,3473920.8,1705579199999,1040346.57048,4294,1690961.3,506920.66853,0
1705579200000,0.2982,0.305,0.296,0.2982,4743894.8,1705600799999,1414326.54748,7304,2383171.2,711558.21105,0
1705600800000,0.2982,0.2988,0.2954,0.2971,4424139.3,1705622399999,1314153.78642,6005,1855573.9,551501.80308,0
