date,open,high,low,close,volume,base_asset_volume,no_trades,taker_buy_vol,taker_buy_base_asset_vol
1/01/2020,129.16,133.05,128.68,130.77,144770.522,18952318.53,75888,71847.93883,9407940.161
2/01/2020,130.72,130.78,126.38,127.19,213757.0581,27486853.39,96193,105830.5619,13615064.57
3/01/2020,127.19,135.14,125.88,134.35,413055.189,54139288.22,162310,227899.2553,29863547.62
4/01/2020,134.37,135.85,132.5,134.2,184276.171,24641135.57,95488,85809.67556,11476955.59
5/01/2020,134.2,138.19,134.19,135.37,254120.4534,34593687.6,115106,126786.5206,17260443.97
6/01/2020,135.37,144.41,134.86,144.15,408020.2738,57400544.49,159866,199544.8985,28085835.72
7/01/2020,144.14,145.31,138.76,142.8,447762.1728,63861666.4,188444,224063.8916,31981440.09
8/01/2020,142.8,147.77,137.03,140.72,570465.5776,81184999.73,229912,282151.21,40157986.57
9/01/2020,140.76,141.5,135.3,137.74,366076.0657,50611452.58,152241,185916.3869,25716637.97
10/01/2020,137.73,145.17,135.32,144.84,409403.5951,57377525.56,167313,212395.4049,29753335.79
11/01/2020,144.83,148.05,142.09,142.38,368350.5794,53149360.56,156488,189781.1213,27384707.93
12/01/2020,142.4,146.6,141.76,146.54,229541.8614,33112850.82,110842,112369.4685,16214587.13
13/01/2020,146.56,147,142.27,143.58,207996.6187,29888095.37,102544,99446.20096,14292973.2
14/01/2020,143.58,171.7,143.51,165.64,1108476.312,173492006.2,321408,569410.8445,89171070.4
15/01/2020,165.6,171.98,159.2,166.4,721687.8038,119239937.9,251183,350727.9639,57992191.98
16/01/2020,166.4,167.4,157.8,164.21,456170.8672,74038650.83,179108,221669.3963,35985561.13
17/01/2020,164.24,174.81,162.14,169.85,767180.6785,129909265.3,273867,375143.0151,63553850.73
18/01/2020,169.92,179.5,164.92,174.14,688783.1798,119388338.8,240660,350447.0151,60783310.67
19/01/2020,174.1,178.05,161.66,166.79,624681.286,105691368.8,203953,307350.6395,51957534.85
20/01/2020,166.79,169.33,161.24,166.87,358092.8841,59292534.72,130615,181828.1952,30119285.66
21/01/2020,166.86,170.32,164.8,169.49,308007.6353,51615232.57,125609,154669.5631,25916761.62
22/01/2020,169.48,171.47,166.03,168.07,272240.9029,45903134.16,111017,131183.8062,22137225.77
23/01/2020,168.07,168.2,159.21,162.81,373414.3499,60971659.77,150875,179121.3193,29244864.76
24/01/2020,162.85,164.45,155.55,162.54,430013.199,68980724.06,145668,201937.8364,32428806.01
25/01/2020,162.51,162.79,157.61,160.35,219921.652,35196608.31,95448,114622.4459,18335347.16
26/01/2020,160.36,168.08,159.41,167.86,251582.5576,41239031.34,116628,135644.6268,22253874.87
27/01/2020,167.91,172.56,165.22,170.08,365894.8192,61846624.61,157072,183012.1978,30945679.52
28/01/2020,170.04,176.2,170.03,175.64,473433.8961,81649497.49,178990,249252.6153,42996095.56
29/01/2020,175.58,178.45,173.33,173.72,317382.9016,55988230.27,145062,151440.5071,26718161.11
30/01/2020,173.68,187,170.93,184.69,477721.6609,85164074.08,189458,241401.1538,43057387.75
31/01/2020,184.71,185.82,175.22,179.99,385596.5337,69633052.28,157597,182789.8791,33021337.96
1/02/2020,179.94,184.28,179.23,183.6,259370.129,47263178.07,124149,125544.7871,22884938.05
2/02/2020,183.63,193.43,179.1,188.44,552621.1362,104105613.6,222425,280248.0344,52807627.8
