date,open,high,low,close,volume,base_asset_volume,no_trades,taker_buy_vol,taker_buy_base_asset_vol
01/01/2024,2281.87,2431.3,2100.0,2209.72,1473473.8425,3388971312.8418007,2916072,737348.44,1695697111.795754
04/01/2024,2209.72,2294.69,2201.91,2240.78,1048479.9212,2354307756.347592,1990175,544892.4883,1223728715.464559
07/01/2024,2240.77,2371.72,2166.38,2344.29,1298001.2405,2952816702.534328,2782041,655141.2904,1490427200.113804
10/01/2024,2344.3,2717.32,2339.59,2522.54,2764558.6864,7049416959.667101,5565098,1396384.0656,3560271518.690736
13/01/2024,2522.55,2590.0,2470.0,2511.78,1043516.8602,2644301361.399138,2420517,521420.3213,1321616806.559301
16/01/2024,2511.79,2614.43,2428.56,2470.81,1199449.0798,3035672742.037596,3175067,595378.8087,1507667260.561734
19/01/2024,2470.81,2504.2,2415.2,2457.05,683402.1293,1688170333.769052,1634428,332407.0402,821207338.240996
22/01/2024,2457.06,2466.1,2168.07,2235.02,1586294.1302,3623431693.8695087,2938988,763855.9833,1743635379.396765
25/01/2024,2235.02,2282.94,2171.3,2267.94,839102.4152,1875871991.0052752,1996737,420891.4164,940851680.912772
28/01/2024,2267.94,2391.98,2233.8,2343.01,887734.5654,2044057794.9450233,2019084,449987.9479,1036098676.679369
31/01/2024,2343.0,2351.6,2240.0,2309.06,946344.1507,2178302231.0345006,2276977,473005.4172,1088756192.067386
03/02/2024,2309.07,2338.41,2266.0,2301.83,541075.3014,1246482391.641075,1635011,273572.2156,630240014.095931
06/02/2024,2301.84,2463.15,2299.0,2419.55,1049774.505,2506551473.743298,2616255,537258.3037,1282500427.684151
09/02/2024,2419.56,2539.63,2419.16,2507.21,897459.1221,2238032087.348618,2468080,468150.9347,1167155483.228979
12/02/2024,2507.22,2786.0,2472.0,2774.81,1413620.2154,3738866129.603192,3154687,725096.5688,1917784030.244284
15/02/2024,2774.8,2867.65,2719.01,2785.93,1103062.867,3089570650.254348,3440223,548104.5131,1535413697.627729
18/02/2024,2785.92,3033.09,2764.25,3014.81,1449120.6705,4208978550.3704967,4368940,749980.0253,2178307969.708607
21/02/2024,3014.81,3036.02,2868.0,2922.24,1588307.5756,4684304794.757297,3465775,805673.7584,2376339711.456772
24/02/2024,2922.25,3196.0,2906.4,3175.94,1202883.0767,3682924960.353984,3195984,605061.8771,1851518028.0275729
27/02/2024,3175.95,3522.81,3160.02,3340.09,2333176.0004,7787629654.379866,6231944,1180967.1101,3944873935.410888
01/03/2024,3340.1,3491.8,3338.54,3487.81,1038405.0531,3549325416.008393,3306066,506855.1033,1732882745.539723
04/03/2024,3487.8,3900.0,3200.0,3818.59,3077760.2101,11223003645.900408,7774808,1517974.5447,5539416940.75979
07/03/2024,3818.58,3993.75,3735.0,3905.21,1442019.0725,5597641525.762827,4113192,723574.3246,2809188594.956556
10/03/2024,3905.2,4093.92,3722.95,3979.96,1711006.588,6790010681.368588,4968525,819900.5774,3252790173.831311
13/03/2024,3979.97,4083.0,3570.0,3742.19,2078080.7082,7967394801.313773,5943798,1025509.655,3934737284.488765
